study_hours,class_attendance,sleep_hours,sleep_quality,facility_rating,study_method_group study,study_method_mixed,study_method_online videos,study_method_self-study,exam_score
0.3448275862068965,0.889455782312925,0.5689655172413793,0,0,False,False,False,False,58.9
0.4201787994891443,0.41156462585034,0.086206896551724,1,1,False,False,True,False,54.8
0.996168582375479,0.6156462585034013,0.7586206896551725,0,2,False,False,False,False,90.3
0.0753512132822477,0.1326530612244897,0.2931034482758621,1,0,False,False,True,False,29.7
0.1034482758620689,0.5272108843537413,0.9827586206896554,0,0,False,False,False,False,43.7
0.4342273307790549,0.4217687074829932,0.0172413793103449,2,0,False,True,False,False,58.2
0.1621966794380587,0.4829931972789114,0.5689655172413793,1,2,False,False,True,False,53.7
0.6896551724137931,0.1785714285714285,0.7068965517241378,0,0,False,False,False,True,47.3
0.3588761174968072,0.8741496598639453,0.4310344827586206,0,0,False,False,False,True,44.9
0.8544061302681991,0.0714285714285712,0.9827586206896554,1,2,True,False,False,False,77.7
0.7547892720306514,0.7874149659863945,0.2931034482758621,1,1,False,False,False,True,63.2
0.471264367816092,0.952380952380952,0.0,0,1,False,False,True,False,53.5
0.8531289910600255,0.0986394557823128,0.689655172413793,2,1,False,False,False,True,63.9
0.0932311621966794,0.4319727891156462,0.5172413793103449,0,1,False,False,True,False,34.1
0.5836526181353767,0.5867346938775508,0.6206896551724138,2,2,True,False,False,False,83.5
0.6079182630906769,1.0,0.5517241379310344,1,2,False,False,False,False,98.5
0.2413793103448276,0.8724489795918366,0.724137931034483,1,1,False,False,False,True,70.3
0.0408684546615581,0.4132653061224489,0.4655172413793104,0,1,False,False,False,True,32.3
0.5363984674329502,0.9778911564625848,0.0517241379310345,1,0,False,True,False,False,56.2
0.5146871008939975,0.3282312925170068,0.0344827586206897,0,2,False,False,False,False,49.3
0.6577266922094509,0.3367346938775508,0.0172413793103449,0,1,False,False,False,False,68.1
0.2068965517241379,0.5068027210884354,0.9827586206896554,2,0,False,True,False,False,52.1
0.1736909323116219,0.7857142857142856,0.9655172413793102,1,1,True,False,False,False,47.1
0.9885057471264368,0.1853741496598638,0.3793103448275862,2,0,False,False,False,True,84.8
0.1060025542784163,0.7465986394557822,0.6724137931034483,1,0,False,False,False,False,68.9
1.0000000000000002,0.0,0.0344827586206897,2,0,True,False,False,False,76.3
0.7254150702426564,0.2568027210884352,0.7068965517241378,1,0,False,False,False,True,71.6
0.632183908045977,0.9846938775510204,0.4482758620689656,0,2,False,True,False,False,74.1
0.3371647509578545,0.6598639455782311,0.5000000000000001,2,1,False,False,True,False,56.6
0.876117496807152,0.4625850340136053,0.086206896551724,2,1,True,False,False,False,49.2
0.9195402298850576,0.7363945578231292,0.3793103448275862,0,2,False,True,False,False,97.5
0.7279693486590039,0.4336734693877548,0.1724137931034483,2,2,False,False,False,True,81.8
0.7151979565772668,0.0986394557823128,0.0,2,2,False,False,False,True,65.6
0.4942528735632184,0.4982993197278911,0.4137931034482759,0,2,False,False,True,False,71.1
0.0689655172413793,0.964285714285714,0.086206896551724,2,2,True,False,False,False,60.3
1.0000000000000002,0.2687074829931971,0.1724137931034483,1,2,False,False,True,False,81.3
0.0051085568326947,0.0442176870748298,0.2931034482758621,1,1,False,False,True,False,37.3
0.4955300127713921,0.7465986394557822,0.4482758620689656,0,0,True,False,False,False,52.0
0.3652618135376756,0.454081632653061,0.2241379310344828,1,2,False,False,False,False,58.9
0.7828863346104725,0.3316326530612243,0.9655172413793102,1,0,False,False,True,False,65.8
0.7420178799489143,0.4880952380952379,0.9310344827586208,1,1,False,True,False,False,67.6
0.6309067688378033,0.9387755102040812,0.2413793103448276,0,2,False,False,False,False,99.3
0.0664112388250319,0.2448979591836734,0.4482758620689656,2,2,False,False,True,False,33.6
0.231162196679438,0.193877551020408,0.6034482758620688,0,1,True,False,False,False,35.5
0.0855683269476373,0.5340136054421767,0.1724137931034483,1,1,True,False,False,False,42.8
0.9897828863346104,0.4625850340136053,0.6379310344827586,2,2,False,False,False,False,100.0
0.1200510855683269,0.1428571428571428,0.4137931034482759,2,2,True,False,False,False,50.4
0.9782886334610472,0.5816326530612244,0.0172413793103449,2,2,False,False,True,False,74.0
0.1047254150702426,0.5765306122448979,0.2413793103448276,0,2,False,True,False,False,30.9
0.8710089399744573,0.607142857142857,0.1724137931034483,0,0,False,True,False,False,75.9
0.5772669220945083,0.41156462585034,0.8275862068965517,0,0,False,True,False,False,75.3
0.8390804597701149,0.2857142857142856,0.5000000000000001,2,0,True,False,False,False,88.7
0.6372924648786717,0.324829931972789,0.1724137931034483,2,0,True,False,False,False,73.6
0.7752234993614304,0.8418367346938773,0.5689655172413793,0,2,False,False,False,True,76.8
0.7369093231162196,0.6275510204081631,0.4310344827586206,1,0,False,False,True,False,64.9
0.2554278416347382,0.3962585034013604,0.4310344827586206,2,2,False,True,False,False,47.2
0.9450830140485312,0.6156462585034013,0.1896551724137931,0,0,True,False,False,False,78.1
0.6475095785440613,0.346938775510204,0.6379310344827586,1,1,False,True,False,False,77.8
0.1966794380587484,0.8707482993197277,0.8275862068965517,1,2,False,True,False,False,66.9
0.3026819923371648,0.7329931972789114,0.4827586206896553,2,1,False,False,False,True,70.5
0.5338441890166028,0.0935374149659863,0.1379310344827587,1,1,False,False,True,False,57.2
0.8901660280970626,0.0476190476190475,0.2586206896551724,1,1,False,True,False,False,75.5
0.8033205619412516,0.0238095238095237,0.3103448275862069,2,0,False,False,False,True,62.8
0.2988505747126437,0.0187074829931972,0.8965517241379312,1,2,False,False,True,False,31.7
0.6934865900383141,0.4965986394557822,0.6206896551724138,2,0,False,False,False,True,70.3
0.0,0.1751700680272108,0.9482758620689654,0,0,False,True,False,False,19.599
0.3295019157088123,0.6785714285714284,0.3103448275862069,1,0,False,True,False,False,54.0
0.8480204342273308,0.4829931972789114,0.879310344827586,2,2,False,False,False,True,61.0
0.1443167305236271,0.0850340136054421,0.810344827586207,1,1,False,False,True,False,35.1
0.351213282247765,0.0,0.9655172413793102,2,0,False,True,False,False,57.5
0.0,0.0272108843537415,0.2413793103448276,2,2,False,False,False,False,26.4
0.0140485312899106,0.5340136054421767,0.9655172413793102,0,2,False,False,False,True,45.3
0.1392081736909323,0.5884353741496597,0.6724137931034483,2,2,False,False,True,False,46.9
0.0932311621966794,0.3503401360544216,0.7413793103448277,0,1,False,False,False,True,37.1
0.4904214559386973,0.0697278911564626,0.1724137931034483,1,2,False,True,False,False,54.0
0.909323116219668,0.9438775510204078,0.2068965517241379,0,0,False,True,False,False,78.8
0.0766283524904214,0.4030612244897957,1.0,0,0,False,True,False,False,49.9
0.8786717752234994,0.4285714285714284,0.793103448275862,0,0,False,False,True,False,76.9
0.6730523627075351,0.379251700680272,0.8965517241379312,1,2,False,False,True,False,54.4
0.1621966794380587,0.0510204081632652,0.2586206896551724,0,1,False,False,False,False,28.3
0.2860791826309067,0.714285714285714,0.5000000000000001,2,1,False,False,False,True,53.1
0.1877394636015326,0.6683673469387754,0.5344827586206896,2,2,False,True,False,False,75.6
0.7956577266922094,0.1581632653061223,0.2586206896551724,1,0,True,False,False,False,57.5
0.7305236270753511,0.2636054421768706,0.1379310344827587,1,2,False,True,False,False,59.8
0.301404853128991,0.5476190476190474,0.1724137931034483,2,1,True,False,False,False,51.3
0.0446998722860791,0.3741496598639455,0.3103448275862069,1,0,False,False,False,True,23.9
0.1621966794380587,1.0,0.4137931034482759,0,2,True,False,False,False,48.1
0.6334610472541506,0.4965986394557822,0.0,1,2,False,False,False,True,65.3
0.0817369093231162,0.889455782312925,0.4827586206896553,2,0,False,False,True,False,56.6
0.5376756066411239,0.1989795918367345,0.5344827586206896,2,2,False,False,False,False,79.5
0.6155810983397191,0.5578231292517006,0.4827586206896553,0,2,False,False,False,True,79.9
0.6922094508301405,0.3180272108843536,0.6034482758620688,1,0,False,False,False,True,65.8
0.1174968071519795,0.9438775510204078,0.0689655172413793,2,2,False,False,False,True,61.1
0.4597701149425288,0.5527210884353739,0.8965517241379312,2,0,False,False,True,False,65.8
0.4636015325670498,0.6564625850340136,0.2241379310344828,1,0,False,False,True,False,49.0
0.8429118773946359,0.0680272108843537,0.4310344827586206,1,2,True,False,False,False,66.3
0.4687100893997446,0.4880952380952379,0.8620689655172412,2,2,False,True,False,False,63.9
0.40485312899106,0.5816326530612244,0.724137931034483,0,2,False,False,False,False,49.5
0.1162196679438059,0.2857142857142856,0.724137931034483,0,1,False,False,True,False,40.0
0.6998722860791825,0.7397959183673466,0.810344827586207,0,1,False,True,False,False,78.7
0.6232439335887612,0.4659863945578231,0.9827586206896554,2,1,False,False,False,True,61.4
0.722860791826309,0.5629251700680271,0.0172413793103449,0,2,False,False,True,False,69.6
0.6602809706257982,0.3588435374149659,1.0,0,0,False,False,False,False,71.9
0.8837803320561941,0.6802721088435373,0.9482758620689654,0,1,True,False,False,False,88.5
0.8863346104725415,0.0952380952380952,0.1379310344827587,2,0,False,False,True,False,63.8
0.3039591315453384,0.5068027210884354,0.2931034482758621,0,0,False,True,False,False,37.1
0.1762452107279693,0.9030612244897958,0.6724137931034483,0,2,False,True,False,False,51.1
0.9361430395913156,0.2295918367346938,0.8965517241379312,1,0,False,False,False,False,91.3
0.7177522349936143,0.8758503401360542,0.5517241379310344,0,2,False,False,False,False,95.2
0.9821200510855682,0.8928571428571426,0.5172413793103449,0,0,True,False,False,False,74.3
0.4980842911877395,0.2244897959183671,0.103448275862069,2,2,False,True,False,False,64.0
0.9731800766283524,0.0714285714285712,0.724137931034483,1,2,False,True,False,False,79.6
0.1149425287356321,0.7704081632653061,0.5000000000000001,2,0,False,False,False,False,51.8
0.5925925925925926,0.9676870748299318,0.086206896551724,2,0,False,False,False,True,74.4
0.4968071519795659,0.2499999999999999,0.9310344827586208,2,2,True,False,False,False,69.9
0.0,0.921768707482993,0.2241379310344828,0,2,False,False,False,False,26.5
0.1864623243933588,0.2023809523809523,0.5344827586206896,1,1,False,True,False,False,45.5
0.1468710089399744,0.357142857142857,0.8448275862068965,0,1,False,True,False,False,57.0
0.0523627075351213,0.8945578231292515,0.6724137931034483,2,1,False,False,False,True,52.8
0.9591315453384418,0.2993197278911564,0.2241379310344828,1,1,False,True,False,False,93.1
0.9757343550447,0.760204081632653,1.0,2,1,True,False,False,False,100.0
0.900383141762452,0.139455782312925,0.086206896551724,0,1,False,False,False,True,81.6
1.0000000000000002,0.3758503401360544,0.810344827586207,0,2,False,True,False,False,100.0
0.8390804597701149,0.9489795918367344,0.4655172413793104,1,0,False,True,False,False,100.0
0.942528735632184,0.2210884353741495,0.0517241379310345,0,1,False,True,False,False,76.9
0.1915708812260536,0.7057823129251699,0.2413793103448276,2,0,True,False,False,False,51.9
0.2528735632183908,0.9285714285714284,0.0689655172413793,2,0,False,False,False,False,51.0
0.8710089399744573,0.7908163265306121,0.1896551724137931,1,2,False,False,True,False,71.1
0.4802043422733077,0.9574829931972788,0.8965517241379312,2,0,False,False,True,False,86.9
0.722860791826309,0.952380952380952,0.2931034482758621,0,2,False,False,False,True,67.4
0.5644955300127713,0.1054421768707482,0.6206896551724138,2,0,False,True,False,False,76.3
0.3026819923371648,0.6037414965986392,0.1896551724137931,0,2,False,False,False,True,40.7
0.2809706257982119,0.4251700680272106,0.2413793103448276,0,1,False,False,False,True,19.599
0.7547892720306514,0.6870748299319727,0.3448275862068964,2,1,True,False,False,False,71.9
